1.17,-14.939,1.91
1.18,-13.232,1.832
1.19,-9.437,1.7
1.2,-4.152,1.549
1.21,1.789,1.383
1.22,7.448,1.221
1.23,11.93,1.128
1.24,14.529,1.114
1.25,14.834,1.158
1.26,12.797,1.251
1.27,8.74,1.383
1.28,3.303,1.524
1.29,-2.656,1.695
1.3,-8.195,1.832
1.31,-12.441,1.895
1.32,-14.722,1.895
1.33,-14.679,1.832
1.34,-12.319,1.729
1.35,-8.014,1.583
1.36,-2.443,1.417
1.37,3.513,1.251
1.38,8.914,1.114
1.39,12.909,1.041
1.4,14.865,1.045
1.41,14.474,1.114
1.42,11.798,1.226
1.43,7.26,1.368
1.44,1.575,1.524
1.45,-4.358,1.69
1.46,-9.603,1.827
1.47,-13.332,1.876
1.48,-14.957,1.866
1.49,-14.22,1.793
1.5,-11.238,1.685
1.51,-6.481,1.529
1.52,-0.702,1.358
1.53,5.188,1.212
1.54,10.26,1.099
1.55,13.711,1.055
1.56,14.998,1.085
1.57,13.917,1.177
1.58,10.638,1.299
1.59,5.681,1.456
1.6,-0.174,1.617
1.61,-6.001,1.764
1.62,-10.881,1.871
1.63,-14.043,1.915
1.64,-14.988,1.891
1.65,-13.566,1.817
1.66,-10.003,1.695
1.67,-4.86,1.549
1.68,1.049,1.387
1.69,6.793,1.236
1.7,11.465,1.138
1.71,14.327,1.119
1.72,14.926,1.172
1.73,13.169,1.27
1.74,9.333,1.392
1.75,4.024,1.553
1.76,-1.921,1.724
1.77,-7.563,1.861
1.78,-12.01,1.959
1.79,-14.562,1.983
1.8,-14.814,1.935
1.81,-12.728,1.842
1.82,-8.632,1.705
1.83,-3.173,1.549
1.84,2.786,1.387
1.85,8.306,1.251
1.86,12.514,1.172
1.87,14.747,1.163
1.88,14.651,1.216
1.89,12.243,1.319
1.9,7.901,1.461
1.91,2.312,1.617
1.92,-3.642,1.778
1.93,-9.021,1.895
1.94,-12.976,1.964
1.95,-14.882,1.949
1.96,-14.439,1.871
1.97,-11.716,1.759
1.98,-7.143,1.617
1.99,-1.443,1.461
2,4.485,1.299
2.01,9.705,1.177
2.02,13.393,1.119
2.03,14.966,1.138
2.04,14.177,1.216
2.05,11.149,1.334
2.06,6.361,1.48
2.07,0.569,1.641
2.08,-5.313,1.808
2.09,-10.356,1.915
2.1,-13.764,1.959
2.11,-14.999,1.939
2.12,-13.866,1.861
2.13,-10.544,1.749
2.14,-5.557,1.602
2.15,0.307,1.441
2.16,6.123,1.29
2.17,10.972,1.168
2.18,14.089,1.128
2.19,14.982,1.168
2.2,13.509,1.251
2.21,9.904,1.378
2.22,4.735,1.524
2.23,-1.182,1.69
2.24,-6.912,1.837
2.25,-11.55,1.925
2.26,-14.365,1.949
2.27,-14.912,1.9
2.28,-13.105,1.812
2.29,-9.229,1.681
2.3,-3.896,1.519
2.31,2.053,1.353
2.32,7.677,1.197
2.33,12.089,1.099
2.34,14.593,1.08
2.35,14.793,1.133
2.36,12.657,1.236
2.37,8.523,1.368
2.38,3.044,1.519
2.39,-2.916,1.685
2.4,-8.416,1.827
2.41,-12.587,1.9
2.42,-14.771,1.91
2.43,-14.622,1.861
2.44,-12.165,1.754
2.45,-7.788,1.622
2.46,-2.181,1.466
2.47,3.77,1.299
2.48,9.126,1.168
2.49,13.042,1.099
2.5,14.898,1.099
2.51,14.402,1.172
2.52,11.633,1.28
2.53,7.026,1.417
2.54,1.311,1.578
2.55,-4.611,1.739
2.56,-9.806,1.851
2.57,-13.452,1.891
2.58,-14.975,1.871
2.59,-14.133,1.793
2.6,-11.06,1.676
2.61,-6.241,1.514
2.62,-0.436,1.343
2.63,5.437,1.197
2.64,10.452,1.085
2.65,13.817,1.045
2.66,15,1.08
2.67,13.815,1.177
2.68,10.449,1.299
2.69,5.434,1.456
2.7,-0.44,1.622
2.71,-6.244,1.768
2.72,-11.062,1.871
2.73,-14.134,1.915
2.74,-14.974,1.886
2.75,-13.451,1.812
2.76,-9.803,1.695
2.77,-4.609,1.544
2.78,1.314,1.373
2.79,7.029,1.216
2.8,11.634,1.114
2.81,14.403,1.08
2.82,14.898,1.128
2.83,13.04,1.226
2.84,9.124,1.348
2.85,3.767,1.505
2.86,-2.184,1.671
2.87,-7.791,1.817
2.88,-12.167,1.905
2.89,-14.623,1.925
2.9,-14.77,1.876
2.91,-12.585,1.783
2.92,-8.413,1.651
2.93,-2.913,1.495
2.94,3.047,1.334
2.95,8.526,1.207
2.96,12.659,1.138
2.97,14.793,1.143
2.98,14.592,1.216
2.99,12.087,1.329
3,7.674,1.475
3.01,2.05,1.627
3.02,-3.899,1.803
3.03,-9.232,1.935
3.04,-13.107,1.998
3.05,-14.913,1.993
3.06,-14.364,1.925
3.07,-11.548,1.817
3.08,-6.909,1.681
3.09,-1.179,1.51
3.1,4.738,1.358
3.11,9.906,1.246
3.12,13.51,1.177
3.13,14.982,1.197
3.14,14.088,1.285
3.15,10.97,1.397
3.16,6.12,1.544
3.17,0.304,1.705
3.18,-5.56,1.861
3.19,-10.547,1.964
3.2,-13.868,1.998
3.21,-14.999,1.964
3.22,-13.763,1.871
3.23,-10.354,1.749
3.24,-5.31,1.597
3.25,0.572,1.431
3.26,6.364,1.28
3.27,11.151,1.172
3.28,14.178,1.133
3.29,14.966,1.177
3.3,13.391,1.29
3.31,9.703,1.402
3.32,4.482,1.558
3.33,-1.446,1.729
3.34,-7.146,1.861
3.35,-11.718,1.959
3.36,-14.44,1.974
3.37,-14.882,1.92
3.38,-12.974,1.832
3.39,-9.018,1.695
3.4,-3.639,1.539
3.41,2.315,1.378
3.42,7.904,1.236
3.43,12.244,1.143
3.44,14.652,1.128
3.45,14.746,1.182
3.46,12.513,1.29
3.47,8.303,1.417
3.48,2.783,1.573
3.49,-3.176,1.744
3.5,-8.635,1.876
3.51,-12.729,1.954
3.52,-14.815,1.954
3.53,-14.561,1.891
3.54,-12.008,1.793
3.55,-7.56,1.651
3.56,-1.918,1.49
3.57,4.027,1.334
3.58,9.336,1.212
3.59,13.171,1.158
3.6,14.927,1.172
3.61,14.326,1.251
3.62,11.463,1.373
3.63,6.791,1.51
3.64,1.046,1.681
3.65,-4.863,1.842
3.66,-10.005,1.954
3.67,-13.567,1.998
3.68,-14.988,1.979
3.69,-14.042,1.9
3.7,-10.879,1.793
3.71,-5.998,1.641
3.72,-0.171,1.485
3.73,5.683,1.324
3.74,10.641,1.202
3.75,13.918,1.163
3.76,14.998,1.192
3.77,13.71,1.295
3.78,10.257,1.402
3.79,5.186,1.553
3.8,-0.705,1.724
3.81,-6.484,1.871
3.82,-11.24,1.979
3.83,-14.221,2.013
3.84,-14.956,1.983
3.85,-13.331,1.881
3.86,-9.601,1.759
3.87,-4.355,1.622
3.88,1.578,1.456
3.89,7.263,1.309
3.9,11.8,1.202
3.91,14.475,1.177
3.92,14.864,1.226
3.93,12.907,1.329
3.94,8.912,1.461
3.95,3.51,1.612
3.96,-2.446,1.773
3.97,-8.016,1.91
3.98,-12.321,1.993
3.99,-14.68,2.003
4,-14.721,1.954
4.01,-12.439,1.861
4.02,-8.192,1.734
4.03,-2.653,1.568
4.04,3.306,1.407
4.05,8.743,1.285
4.06,12.799,1.216
4.07,14.835,1.221
4.08,14.528,1.295
4.09,11.928,1.392
4.1,7.445,1.534
4.11,1.786,1.7
4.12,-4.155,1.861
4.13,-9.439,1.974
4.14,-13.234,2.032
4.15,-14.939,2.013
4.16,-14.286,1.939
4.17,-11.377,1.822
4.18,-6.672,1.681
4.19,-0.914,1.505
4.2,4.989,1.343
4.21,10.104,1.231
4.22,13.624,1.172
4.23,14.992,1.187
4.24,13.994,1.27
4.25,10.787,1.387
4.26,5.876,1.529
4.27,0.038,1.69
4.28,-5.806,1.851
4.29,-10.734,1.964
4.3,-13.967,2.003
4.31,-14.995,1.974
4.32,-13.655,1.891
4.33,-10.16,1.768
4.34,-5.061,1.622
4.35,0.837,1.456
4.36,6.604,1.309
4.37,11.327,1.216
4.38,14.262,1.192
4.39,14.946,1.236
4.4,13.27,1.334
4.41,9.499,1.466
4.42,4.228,1.622
4.43,-1.71,1.798
4.44,-7.378,1.949
4.45,-11.882,2.037
4.46,-14.509,2.057
4.47,-14.846,2.018
4.48,-12.839,1.925
4.49,-8.805,1.798
4.5,-3.381,1.637
4.51,2.577,1.48
4.52,8.128,1.334
4.53,12.396,1.255
4.54,14.707,1.246
4.55,14.695,1.304
4.56,12.364,1.407
4.57,8.081,1.549
4.58,2.522,1.705
4.59,-3.435,1.871
4.6,-8.85,1.998
4.61,-12.868,2.057
4.62,-14.854,2.052
4.63,-14.495,1.983
4.64,-11.847,1.866
4.65,-7.329,1.734
4.66,-1.654,1.568
4.67,4.282,1.412
4.68,9.542,1.295
